; ============================================================================
; AmmAsm v2.4.7 - instruction database (NASM insns.dat format)
; Generated from the encoder backend (DeepSeek)
; ============================================================================

; --- MOV --------------------------------------------------------------------
MOV       reg64,imm64              [oi: 48 b8+r iq]                    X86_64
MOV       reg32,imm32              [oi: b8+r id]
MOV       reg16,imm16              [oi: 66 b8+r iw]
MOV       reg8,imm8                [oi: b0+r ib]
MOV       reg64,reg64              [rm: 48 89 /r]                      X86_64
MOV       reg32,reg32              [rm: 89 /r]
MOV       reg16,reg16              [rm: 66 89 /r]
MOV       reg8,reg8                [rm: 88 /r]
MOV       reg64,mem64              [rm: 48 8b /r]                      X86_64
MOV       reg32,mem32              [rm: 8b /r]
MOV       reg16,mem16              [rm: 66 8b /r]
MOV       reg8,mem8                [rm: 8a /r]
MOV       mem64,reg64              [rm: 48 89 /r]                      X86_64
MOV       mem32,reg32              [rm: 89 /r]
MOV       mem16,reg16              [rm: 66 89 /r]
MOV       mem8,reg8                [rm: 88 /r]
MOV       byte mem,imm8            [mi: c6 /0 ib]
MOV       word mem,imm16           [mi: 66 c7 /0 iw]
MOV       dword mem,imm32          [mi: c7 /0 id]
MOV       qword mem,imm32          [mi: 48 c7 /0 id]                   X86_64

; --- Group 1 (add, or, adc, sbb, and, sub, xor, cmp) -----------------------
ADD       reg8,reg8                [rm: 02 /r]
ADD       reg16,reg16              [rm: 66 03 /r]
ADD       reg32,reg32              [rm: 03 /r]
ADD       reg64,reg64              [rm: 48 03 /r]                      X86_64
ADD       reg8,mem8                [rm: 02 /r]
ADD       reg16,mem16              [rm: 66 03 /r]
ADD       reg32,mem32              [rm: 03 /r]
ADD       reg64,mem64              [rm: 48 03 /r]                      X86_64
ADD       mem8,reg8                [rm: 00 /r]
ADD       mem16,reg16              [rm: 66 01 /r]
ADD       mem32,reg32              [rm: 01 /r]
ADD       mem64,reg64              [rm: 48 01 /r]                      X86_64
ADD       reg8,imm8                [oi: 80 /0 ib]
ADD       reg16,imm16              [oi: 66 83 /0 ib,s]                 ; sign-extended
ADD       reg32,imm32              [oi: 83 /0 ib,s]
ADD       reg64,imm32              [oi: 48 83 /0 ib,s]                 X86_64
ADD       byte mem,imm8            [mi: 80 /0 ib]
ADD       word mem,imm16           [mi: 66 81 /0 iw]
ADD       dword mem,imm32          [mi: 81 /0 id]
ADD       qword mem,imm32          [mi: 48 81 /0 id]                   X86_64

OR        reg8,reg8                [rm: 0a /r]
OR        reg16,reg16              [rm: 66 0b /r]
OR        reg32,reg32              [rm: 0b /r]
OR        reg64,reg64              [rm: 48 0b /r]                      X86_64
OR        reg8,mem8                [rm: 0a /r]
OR        reg16,mem16              [rm: 66 0b /r]
OR        reg32,mem32              [rm: 0b /r]
OR        reg64,mem64              [rm: 48 0b /r]                      X86_64
OR        mem8,reg8                [rm: 08 /r]
OR        mem16,reg16              [rm: 66 09 /r]
OR        mem32,reg32              [rm: 09 /r]
OR        mem64,reg64              [rm: 48 09 /r]                      X86_64
OR        reg8,imm8                [oi: 80 /1 ib]
OR        reg16,imm16              [oi: 66 83 /1 ib,s]
OR        reg32,imm32              [oi: 83 /1 ib,s]
OR        reg64,imm32              [oi: 48 83 /1 ib,s]                 X86_64
OR        byte mem,imm8            [mi: 80 /1 ib]
OR        word mem,imm16           [mi: 66 81 /1 iw]
OR        dword mem,imm32          [mi: 81 /1 id]
OR        qword mem,imm32          [mi: 48 81 /1 id]                   X86_64

ADC       reg8,reg8                [rm: 12 /r]
ADC       reg16,reg16              [rm: 66 13 /r]
ADC       reg32,reg32              [rm: 13 /r]
ADC       reg64,reg64              [rm: 48 13 /r]                      X86_64
ADC       reg8,mem8                [rm: 12 /r]
ADC       reg16,mem16              [rm: 66 13 /r]
ADC       reg32,mem32              [rm: 13 /r]
ADC       reg64,mem64              [rm: 48 13 /r]                      X86_64
ADC       mem8,reg8                [rm: 10 /r]
ADC       mem16,reg16              [rm: 66 11 /r]
ADC       mem32,reg32              [rm: 11 /r]
